Gender,Age,YearsCodePro,Country,Salary,EdLevel
Woman,29.0,1.0,Canada,68068.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,3.0,United States,100000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,6.0,Philippines,14220.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,40.0,23.0,Germany,97288.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,29.0,7.0,United States,90000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,2.0,Canada,52942.0,Some college/university study without earning a degree
Man,33.0,7.0,United Kingdom,71093.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,29.0,9.0,Poland,39492.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,49.0,28.0,United States,90000.0,Some college/university study without earning a degree
Man,26.0,3.0,Canada,64287.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,40.0,1.0,United States,48500.0,Some college/university study without earning a degree
Man,38.0,6.0,United States,92300.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,26.0,3.0,Canada,56723.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,33.0,11.0,Brazil,24744.0,Some college/university study without earning a degree
Man,30.0,9.0,United States,90000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,56.0,30.0,Canada,75631.0,Some college/university study without earning a degree
Woman,43.0,20.0,United Kingdom,39941.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,42.0,21.0,Canada,41600.0,
Man,26.0,4.0,United States,100000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,23.0,3.0,Canada,44622.0,Some college/university study without earning a degree
Man,24.0,1.0,Greece,11676.0,Some college/university study without earning a degree
Man,44.0,12.0,United States,107000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
,,4.0,United States,95000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,40.0,18.0,United States,93840.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,63.0,18.0,United States,79095.0,Secondary school (if completed)
Woman,34.0,20.0,Australia,46767.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,4.0,United Kingdom,51704.0,Some college/university study without earning a degree
Man,34.0,4.0,United States,105000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,33.0,10.0,Canada,43866.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,27.0,5.0,Canada,60505.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,38.0,17.0,Other,56760.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,2.0,India,23735.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,47.0,22.0,Canada,39328.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,40.0,16.0,Canada,71850.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,38.0,13.0,United States,104000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,13.0,Other,41618.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,4.0,Canada,35849.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,27.0,4.0,United States,105000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,37.0,16.0,United Kingdom,56874.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,44.0,22.0,United States,80000.0,Some college/university study without earning a degree
Man,24.0,3.0,Sri Lanka,9564.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,41.0,20.0,Canada,52942.0,Secondary school (if completed)
Man,37.0,8.0,Israel,105072.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,24.0,1.0,United States,75000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,33.0,6.0,United States,85000.0,Some college/university study without earning a degree
Man,48.0,6.0,United Kingdom,77556.0,Secondary school (if completed)
Man,28.0,8.0,Brazil,27492.0,"Professional degree (e.g., JD, MD)"
Man,22.0,4.0,United States,68000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,24.0,5.0,Canada,55211.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,4.0,Other,36456.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,31.0,6.0,Italy,32429.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,27.0,10.0,United States,100000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,,Canada,42354.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,1.0,United States,65000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,19.0,2.0,United Kingdom,32315.0,Some college/university study without earning a degree
Man,26.0,5.0,United States,73000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,23.0,2.0,United States,70338.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,14.0,Germany,107017.0,"Professional degree (e.g., JD, MD)"
Woman,25.0,5.0,United States,68000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,23.0,2.0,Germany,47563.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
